source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/lgbtq
https://www.mediamatters.org/	https://www.mediamatters.org/daily-caller/despite-health-care-shortages-and-pleas-daily-caller-sold-n95-masks-pricey-survival
https://www.mediamatters.org/	https://www.mediamatters.org/sexual-harassment-sexual-assault/forty-three-new-women-came-forward-describe-assault-and-harassment
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/news-outlets-contribute-anti-asian-racism-careless-stock-photos-coronavirus
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-news-diamond-silk-declare-they-will-refuse-any-covid-19-vaccine-bill-gates
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/sean-hannitys-plan-start-baseball-season-includes-banning-popcorn-and-peanuts-allowing
https://www.mediamatters.org/	https://www.mediamatters.org/climate-deniers/5-climate-denier-tactics-fox-news-repurposed-its-coronavirus-coverage
https://www.mediamatters.org/	https://www.mediamatters.org/donald-trump/outrage-over-offending-red-america-highlights-major-double-standard-media
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/coronavirus-deaths-are-being-undercounted-rush-limbaugh-continues-allege
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/abc-and-cbs-sunday-shows-ignore-bombshell-ny-times-report-trumps-early-failure
https://www.mediamatters.org/	https://www.mediamatters.org/alliance-defending-freedom/anti-lgbtq-media-laid-groundwork-idaho-legislate-against-trans-athletes
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-laura-ingrahams-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/over-70-trumps-national-tv-news-interviews-have-been-fox-news-affiliated-networks
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/six-different-polls-show-how-foxs-coronavirus-coverage-endangered-its-viewers
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/why-cant-mainstream-media-stop-echoing-trumps-coronavirus-misinformation
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/qanon-grifter-dustin-nemos-was-selling-colloidal-silver-supposed-coronavirus
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/doctor-cited-national-enquirers-false-coronavirus-cures-edition-says-he-never
https://www.mediamatters.org/	https://www.mediamatters.org/justice-civil-liberties/outside-town-hall-tv-news-spent-20-minutes-covering-anti-trans-violence
https://www.mediamatters.org/	https://www.mediamatters.org/search
https://www.mediamatters.org/	https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/	https://www.mediamatters.org/dennis-prager/dennis-prager-compares-taking-steps-prevent-coronavirus-deaths-appeasing-nazis
https://www.mediamatters.org/	https://www.mediamatters.org/john-solomon/while-gaslighting-country-ukraine-john-solomon-launches-new-gaslighting-website
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_vUt0GK4OfEXUi5i0VJuEV9nf8bDJwmJWZVb1Ca5G1yM.css?q8ufv0
